Website,Country,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games,Launched products,Revenue,Selling from a website,Distribution platform,Payment gateway or service (for direct selling websites),Project scale assessment,Simplified classification of studios,Publisher + producing its games,Custom games + studio’s own games,Making the first game,Possibly out of business
chimpworksgames.com/,Netherlands,Chimpworks,?,?,X,?,?,?,?,18,?,?,-,?,-,-,?,?,?,?
chubbypixel.com/,Italy,Chubby Pixel,?,X,X,X,?,X,?,11,?,?,X,?,3,C,?,?,?,?
chucklefish.org/,UK,Chucklefish,Chucklefish,X,?,?,?,?,?,4,?,?,X,?,4,B,X,?,?,?
cigames.com/en/,Poland,CI Games,?,X,X,?,?,X,?,24,?,?,X,?,10,A,?,?,?,?
cinemax.cz/,Czech Republic,CINEMAX,?,X,X,?,?,X,?,8,?,?,X,?,3,C,?,?,?,?
cipsoft.com/index.php/en/,Germany,CipSoft,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
clarusvictoria.com/,Russia,Clarus Victoria,?,X,X,?,?,?,?,5,?,?,X,?,5,B,?,?,?,?
cleversan.com/,Poland,Cleversan Software,?,X,?,?,?,?,?,3,?,?,X,?,4,B,?,?,?,?
clifftopgames.com/,Sweden,Clifftop Games,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
climaxstudios.com/,UK,Climax Studios,?,X,X,?,?,?,?,48,?,?,X,?,6,B,?,X,?,?
climou.com/?p=25-haxor,Poland,Climou,No Gravity Games,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
clockstone.com/wp/,Austria,Clock Stone,?,X,X,?,?,X,?,9,?,?,X,?,3,C,?,?,?,?
clockwork-origins.com/,Germany,Clockwork Origins,?,X,?,?,?,?,?,2,?,X,X,itch.io/,4,B,?,?,?,?
cloudthewolf.com/,UK,CloudTheWolf,?,X,?,?,?,?,?,2,?,?,X,?,2,C,?,?,?,?
cluetivity.com/,Germany,Life Action Games GmbH,?,?,X,?,?,?,?,4,?,?,-,?,-,-,?,?,?,?
coalvalleygames.com/,Poland,Coal Valley Games,?,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
coastalbyte.com/,Sweden,Coastalbyte Games,Coffee Stain Publishing,X,?,X,X,?,?,1,?,?,X,?,2,C,?,?,?,?
coatsink.com/,UK,Coatsink,?,X,?,X,?,?,?,9,?,?,X,?,5,B,?,?,?,?
codalyn.com/,Netherlands,Codalyn,?,X,?,?,?,?,?,1,?,?,X,?,2,C,?,?,?,?
codebyfire.com/,UK,Codebyfire,Mode 7,X,?,?,?,?,?,1,?,?,X,?,4,B,?,?,?,?
codeglue.com/,Netherlands,Codeglue,?,X,X,?,?,?,?,4,?,?,X,?,2,C,?,X,?,?
codehorizon.pl/,Poland,The Code Horizon,PlayWay S.A.,X,?,?,?,X,?,5,?,?,X,?,5,B,?,?,?,?
codemasters.com/,UK,Codemasters,Codemasters,X,X,?,?,X,?,10,?,?,X,?,9,A,X,?,?,?
codingmonkeys.de/,Germany,The Coding Monkeys,?,?,X,?,?,?,?,6,?,?,-,?,-,-,?,?,?,?
cofagames.com/,Serbia,Cofa games,?,?,X,?,?,?,?,3,?,?,-,?,-,-,?,?,?,?
