latitude,longitude,Country,Website,Studio,Publisher,PC,Mobile,VR,VR only,Console,Browser games
51.919438,19.145136,Poland,evehor.com/,Event Horizon,?,X,?,?,?,X,?
61.52401,105.318756,Russia,evilcg.com/,Evil Corporation Games,?,X,?,?,?,?,?
61.52401,105.318756,Russia,evilgamesstudios.wixsite.com/stalin,Electro Stalin Entertainment,?,X,?,?,?,?,?
51.919438,19.145136,Poland,evilindiegames.com/,Evil Indie Games,?,X,X,?,?,?,?
45.943161,24.96676,Romania,evilstarstudios.com/home,EvilStar Studios,?,X,?,?,?,?,?
,,UK,eviltwinartworks.com/,Evil Twin Artworks,?,X,X,?,?,?,?
,,UK,evilvideogames.com/,EVIL GAMES,?,X,?,?,?,?,?
61.52401,105.318756,Russia,evolutastudio.com/ru/,Evoluta Studio,?,X,X,?,?,?,?
52.132633,5.291266,Netherlands,excalisoft.com/,Excalisoft,?,?,X,?,?,?,?
,,Macedonia,excubitorgame.com/?fbclid=IwAR0lKHVQNHnjWM-1_OpTm6OMUFJ2bwLp6CnDYpR5ExtGPtU6giOWdGJ9EdQ,Tesseract Interactive,Kasedo Games,X,?,?,?,?,?
,,UK,executiveassault.com/ea1/,Hesketh Games,?,X,?,?,?,?,?
50.503887,4.469936,Belgium,exiin.com/,EXiin,?,X,X,?,?,?,?
45.1,15.2,Croatia,exordiumgames.com/,Exordium games,?,X,X,?,?,X,?
51.919438,19.145136,Poland,exorstudios.com/,EXOR Studios,?,X,?,?,?,?,?
60.128161,18.643501,Sweden,expansiveworlds.com/,Expansive Worlds,?,X,?,?,?,?,?
46.227638,2.213749,France,expatpixel.games/,Expat Pixel Games,?,X,?,?,?,?,?
60.128161,18.643501,Sweden,experiment101.com/,Experiment 101,THQ Nordic,X,?,?,?,X,?
,,UK,extendmode.com/,Extend Mode,?,X,?,?,?,?,?
,,UK,fabrikgames.com/,Fabrik Games,?,X,?,X,?,?,?
45.943161,24.96676,Romania,facebook.com/88mmGames,88mm Games,?,X,X,?,?,?,?
40.143105,47.576927,Azerbaijan,facebook.com/badbuttonstudio/,Bad Button Studio,?,X,X,?,?,?,?
41.87194,12.56738,Italy,facebook.com/BadVicesGames/?ref=py_c,Bad Vices Games,Valkyrie Initiative,X,?,?,?,?,?
50.503887,4.469936,Belgium,facebook.com/blacklandgames/,Black Land Studio,?,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/BlazingPlanetStudio/,Blazing Planet Studio,?,X,X,?,?,?,?
45.943161,24.96676,Romania,facebook.com/bossgard/,Sand Sailor Studio,?,X,?,?,?,?,?
42.733883,25.48583,Bulgaria,facebook.com/EpicDevs/,Epic Devs,Assemble Entertainment,X,X,?,?,?,?
,,Moldavia,facebook.com/evogamesllc/,Standard EVO Games,?,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/FirstGamesInteractive/,First Games Interactive,?,X,?,?,?,?,?
47.162494,19.503304,Hungary,facebook.com/ForeverYoungGames/,Forever Young Games,?,X,?,?,?,?,?
,,UK,facebook.com/FossettGaming/,FossettGaming,?,X,?,?,?,?,?
44.016521,21.005859,Serbia,facebook.com/friskyfatal/,Frisky Fatal Games,Meridean 4,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/FurGoldGames/,FurGoldGames,?,X,?,?,?,?,?
38.963745,35.243322,Turkey,facebook.com/G.TechAtolye/,G-Tech Atolye,?,X,?,?,?,?,?
51.919438,19.145136,Poland,facebook.com/GameDevWI/,Winged Imagination,?,X,?,?,?,?,?
51.919438,19.145136,Poland,facebook.com/Hamstercube/,Hamstercube,?,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/HeavenBrotherhood/,HeavenBrotherhood,?,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/hgg.indie.5,Hardcore Game Gear Indie,?,X,?,?,?,?,?
45.1,15.2,Croatia,facebook.com/Just1337-1640570739530549/,Just1337 Studio,?,X,?,?,?,?,?
51.919438,19.145136,Poland,facebook.com/koderasoftware/,Kodera Software,?,X,?,?,?,?,?
51.165691,10.451526,Germany,facebook.com/Kubifaktorium/,MirkoStudio Games,?,X,?,?,?,?,?
51.919438,19.145136,Poland,facebook.com/Kuklam-studios-162018707749220/,Kuklam studios,?,X,?,?,?,?,?
,,UK,facebook.com/LighthouseGames/,Lighthouse Games Studio,?,X,X,?,?,?,?
56.26392,9.501785,Denmark,facebook.com/lizardfactorygames/,The Lizard Factory,?,X,?,?,?,?,?
51.919438,19.145136,Poland,facebook.com/MasterCode-2096291623793928/,MasterCode,Ultimate Games S.A.,X,?,?,?,?,?
38.963745,35.243322,Turkey,facebook.com/mehangames/,Mehan Games,?,X,?,?,?,?,?
46.818188,8.227512,Switzerland,facebook.com/myoubouh.corp/,Myoubouh Corp,?,X,?,?,?,?,?
48.379433,31.16558,Ukraine,facebook.com/pages/category/Video-Game/Cheeki-Breeki-Games-269290120672755/,Cheeki Breeki Games,?,X,?,?,?,?,?
48.379433,31.16558,Ukraine,facebook.com/pirate.parrot.software,Pirate Parrot,?,X,X,?,?,?,?
,,UK,facebook.com/ProjectorGames/,ProjectorGames,?,X,?,?,?,?,?
38.963745,35.243322,Turkey,facebook.com/proximitygames/,Proksimiti Games,?,X,?,?,?,?,?
,,UK,facebook.com/pugwaredev/,Pugware,?,X,?,?,?,?,?
40.463667,-3.74922,Spain,facebook.com/PyroMobileGames/,Pyro Studios,Kalypso Media Digital,X,X,?,?,?,?
51.165691,10.451526,Germany,facebook.com/RawVengeanceGames/,Raw Vengeance Games,?,X,?,?,?,?,?
48.379433,31.16558,Ukraine,facebook.com/secondrealitystudio/,Second Reality Official,?,X,X,?,?,?,?
51.919438,19.145136,Poland,facebook.com/shockwork/,Shockwork Games,No Gravity Games,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/snakescape/,Rock Path Collective,Hase Games,X,?,?,?,?,?
51.919438,19.145136,Poland,facebook.com/solid9studio/,Solid9 Studio,?,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/supervoidgames/,SUPERVOID,?,X,X,?,?,?,?
61.52401,105.318756,Russia,facebook.com/tauronglyph/?ref=bookmarks,Tauron Glyph,?,X,?,?,?,?,?
61.52401,105.318756,Russia,facebook.com/theBratansInc/,The Bratans Inc.,?,X,?,?,?,?,?
51.919438,19.145136,Poland,facebook.com/TheMoonwalls/,The Moonwalls,?,X,?,?,?,X,?
